slug,title,letter,url,alt_titles
horse-chestnut-extract,Aescin,A,https://dermnetnz.org/topics/horse-chestnut-extract,Horse chestnut extract
horse-chestnut,Aesculus hippocastanum,A,https://dermnetnz.org/topics/horse-chestnut,
afamelanotide,Afamelanotide,A,https://dermnetnz.org/topics/afamelanotide,Alpha melanocyte stimulating hormone analogue
kaposi-sarcoma,African Kaposi sarcoma,A,https://dermnetnz.org/topics/kaposi-sarcoma,Classic Kaposi sarcoma | Endemic Kaposi sarcoma | HIV-associated Kaposi sarcoma | Iatrogenic Kaposi sarcoma | Kaposi sarcoma
african-trypanosomiasis,African trypanosomiasis,A,https://dermnetnz.org/topics/african-trypanosomiasis,
site-and-age-specific-skin-problems,Age specific diseases of the skin,A,https://dermnetnz.org/topics/site-and-age-specific-skin-problems,Site and age specific skin problems | Site specific diseases of the skin
digeorge-syndrome,Agenesis of the parathyroid and thymus glands,A,https://dermnetnz.org/topics/digeorge-syndrome,Branchial arch syndrome | CATCH22 | Cayler cardiofacial syndrome | Conotruncal anomaly face syndrome | DiGeorge anomaly | Pharyngeal pouch syndrome | Sedlackova syndrome | Takao syndrome | Third and fourth pharyngeal arch syndrome | Third and fourth pharyngeal pouch syndrome | Thymic hypoplasia syndrome | Thymic parathyroid aplasia | Velocardiofacial syndrome
aggressive-digital-papillary-adenocarcinoma-pathology,Aggressive digital papillary adenocarcinoma pathology,A,https://dermnetnz.org/topics/aggressive-digital-papillary-adenocarcinoma-pathology,Aggressive digital papillary adenoma pathology | Papillary adenocarcinoma pathology | Papillary adenoma pathology
desmoid-tumours,Aggressive fibromatosis,A,https://dermnetnz.org/topics/desmoid-tumours,Deep fibromatosis | Desmoid fibromatosis | Desmoid type fibromatosis
microcystic-adnexal-carcinoma,Aggressive trichofolliculoma,A,https://dermnetnz.org/topics/microcystic-adnexal-carcinoma,Combined adnexal tumour of the skin | MAC | Microcystic adnexal carcinoma | Sclerosing sweat duct carcinoma | Sweat gland carcinoma with syringomatous features | Syringoid eccrine carcinoma | Syringomatous carcinoma
